   Koraci,     dV(mm),       Tzy(MN)
     1       0.022550       0.000000
     2       0.045251       0.000000
     3       0.067954       0.000000
     4       0.090657       0.000000
     5       0.113361       0.000000
     6       0.136064       0.000000
     7       0.158768       0.000000
     8       0.181471       0.000000
     9       0.204171       0.000000
    10       0.226873       0.000000
    11       0.193029       0.547787
    12       0.116002       0.736717
    13       0.036465       0.821396
    14      -0.056398       0.865209
    15      -0.164920       0.881411
    16      -0.286475       0.886158
    17      -0.412965       0.879734
    18      -0.544107       0.870971
    19      -0.684983       0.854220
    20      -0.845595       0.835175
    21      -0.995568       0.819855
    22      -1.157311       0.800836
    23      -1.302871       0.791323
    24      -1.461482       0.776551
    25      -1.603386       0.766075
    26      -1.750667       0.756216
    27      -1.919214       0.744771
    28      -2.069028       0.743242
    29      -2.226717       0.735217
    30      -2.380831       0.724809
    31      -2.538643       0.732391
    32      -2.708116       0.736081
    33      -2.868727       0.739002
    34      -3.036590       0.740404
    35      -3.192127       0.740335
    36      -3.368649       0.742751
    37      -3.531790       0.743647
    38      -3.701569       0.746871
    39      -3.866981       0.749013
    40      -4.045238       0.754884
    41      -4.193568       0.751880
    42      -4.352765       0.762170
    43      -4.526798       0.758801
    44      -4.694995       0.765846
    45      -4.866344       0.762297
    46      -5.043588       0.769890
    47      -5.217040       0.767000
    48      -5.388498       0.773978
    49      -5.568162       0.774030
    50      -5.728857       0.778725
    51      -5.924080       0.778298
    52      -6.083750       0.781409
    53      -6.274595       0.781283
    54      -6.457693       0.782699
    55      -6.644704       0.784616
    56      -6.825908       0.785145
    57      -7.016649       0.785047
    58      -7.198108       0.787430
    59      -7.400156       0.781999
    60      -7.570278       0.785846
